URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://fhir.no/ValueSet/atc-valueset,1.0.7,active,,ATCValueSet,ATC Kodesystem ValueSet,"ValueSet som inneholder koder fra WHO ATC (Anatomisk Terapeutisk Kjemisk legemiddelregister)","StructureDefinition/legemiddel-classification","hl7.terminology.r4"
http://hl7.no/fhir/ig/lmdi/ValueSet/LokalLegemiddelkatalogValues,1.0.7,draft,,LokalLegemiddelkatalogValues,Lokal Legemiddelkatalog Values,"Gyldige verdier for medlemskapsstatus",,"Internal"
http://hl7.no/fhir/ig/lmdi/ValueSet/kommunenummer-alle,1.0.7,active,,KommunenummerValueSet,Kommunenummer ValueSet,"Komplett kodeverk for norske kommunenummer (Volven 3402)",,"Internal"
http://hl7.no/fhir/ig/lmdi/ValueSet/legemiddel-koder,1.0.7,draft,,LegemiddelKoder,Gyldige legemiddelkoder,"ValueSet som inneholder koder fra SNOMED CT og FEST","StructureDefinition/lmdi-medication","SCT,Other"
http://hl7.no/fhir/ig/lmdi/ValueSet/lmdi-address-type,1.0.7,active,,LmdiAddressType,LMDI Address Type,"Tillatt verdi for address.type i LMDI: physical","StructureDefinition/lmdi-patient,StructureDefinition/lmdi-organization","hl7.fhir.r4.core"
http://hl7.no/fhir/ig/lmdi/ValueSet/lmdi-address-use,1.0.7,active,,LmdiAddressUse,LMDI Address Use,"Tillatte verdier for address.use i LMDI: home, temp, old","StructureDefinition/lmdi-patient","hl7.fhir.r4.core"
http://hl7.no/fhir/ig/lmdi/ValueSet/lmdi-medicationadministrationstatus,1.0.7,draft,,LegemiddeladministreringStatus,Status for legemiddeladministrering,"Verdisett som begrenses status til Legemiddeladministrering til henholdsvis 'Gjennomført' eller 'Feilregistrert'.","StructureDefinition/lmdi-medicationadministration","FHIR"
http://hl7.org/fhir/ValueSet/medicationrequest-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.1320",medicationrequest Status,Medicationrequest  status,"MedicationRequest Status Codes","StructureDefinition/lmdi-medicationrequest","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/route-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.98",SNOMEDCTRouteCodes,SNOMED CT Route Codes,"This value set includes all Route codes from SNOMED CT - provided as an exemplar.","StructureDefinition/lmdi-medicationadministration","SCT"
